"latitude","longitude","elevation","distance"
"42.88678","-9.13835","15.8","28024.3"
"42.88709","-9.13841","14.2","28059.1"
"42.88741","-9.13849","12.6","28095.3"
"42.88757","-9.13850","11.7","28113.1"
"42.88773","-9.13849","11.0","28130.9"
"42.88788","-9.13847","10.6","28147.7"
"42.88828","-9.13836","10.7","28193.1"
"42.88840","-9.13829","10.8","28207.6"
"42.88865","-9.13818","10.7","28236.8"
"42.88890","-9.13821","10.6","28264.7"
"42.88926","-9.13833","9.0","28305.9"
"42.88949","-9.13816","8.2","28335.0"
"42.88959","-9.13805","8.0","28349.3"
"42.88976","-9.13771","7.4","28382.8"
"42.88985","-9.13754","6.9","28399.9"
"42.88993","-9.13737","6.6","28416.3"
"42.89002","-9.13721","6.3","28432.8"
"42.89012","-9.13706","6.0","28449.3"
"42.89023","-9.13691","5.7","28466.6"
"42.89034","-9.13678","5.5","28482.8"
"42.89045","-9.13663","5.4","28500.1"
"42.89065","-9.13632","4.5","28533.7"
"42.89074","-9.13617","4.1","28549.5"
"42.89082","-9.13599","4.0","28566.7"
"42.89098","-9.13567","4.5","28598.2"
"42.89107","-9.13551","4.7","28614.7"
"42.89124","-9.13522","5.1","28644.9"
"42.89157","-9.13464","5.5","28704.7"
"42.89173","-9.13437","6.1","28733.0"
"42.89182","-9.13427","6.4","28745.9"
"42.89193","-9.13421","6.4","28759.1"
"42.89216","-9.13424","6.1","28784.8"
"42.89281","-9.13479","6.2","28869.8"
"42.89341","-9.13493","6.4","28937.0"
"42.89400","-9.13508","6.8","29004.2"
"42.89428","-9.13503","6.9","29035.6"
"42.89496","-9.13455","7.1","29120.9"
"42.89564","-9.13406","7.4","29206.1"
"42.89632","-9.13358","7.4","29291.4"
"42.89694","-9.13320","7.2","29367.1"
"42.89756","-9.13281","7.0","29442.9"
"42.89772","-9.13268","7.1","29463.6"
"42.89831","-9.13194","8.1","29552.7"
"42.89865","-9.13166","9.0","29596.8"
"42.89880","-9.13150","9.4","29618.0"
"42.89911","-9.13104","10.4","29668.9"
"42.89925","-9.13090","10.8","29688.2"
"42.89944","-9.13076","11.1","29712.2"
"42.89981","-9.13057","11.5","29756.2"
"42.90006","-9.13045","11.6","29785.6"
"42.90018","-9.13043","11.7","29799.1"
"42.90031","-9.13044","11.7","29813.6"
"42.90078","-9.13057","12.0","29866.9"
